Action,Timestamp
Application started,2026-04-01 13:14:54
Added expense,2026-04-01 13:15:32
Application started,2026-04-01 13:18:43
Added expense,2026-04-01 13:19:22
Viewed summary,2026-04-01 13:19:29
Application started,2026-04-01 13:20:49
Added expense,2026-04-01 13:21:39
Viewed summary,2026-04-01 13:21:43
Exited application,2026-04-01 13:21:48
